pert_id,pert_iname,n_sig,n_cell,senmayo_mean_z,sign_consistency,z_vs_null,reversal_score,p_perm,fdr,moa,target,clinical_phase,rank,percentile
BRD-K83859302,BRD-K83859302,7,6,0.07542653,0.5,0.015833005,-0.015833005,0.9875062468765617,0.9944161293661713,,,,9450,55.631719799051595
BRD-K77663706,BRD-K77663706,11,5,0.04488613,1.0,0.015870238,-0.015870238,0.9865067466266867,0.9940676158585324,,,,9451,55.62702474294567
BRD-K90064059,BRD-K90064059,4,3,0.030553766,0.6666666666666666,0.015970815,-0.015970815,0.9860069965017492,0.9938931859200547,,,,9452,55.622329686839755
BRD-K66175015,afatinib,58,14,-0.009120224,0.5714285714285714,0.01617318,-0.01617318,0.9845077461269365,0.993133962525226,EGFR inhibitor,EGFR|ERBB2|ERBB4,Launched,9453,55.61763463073384
BRD-K76325726,BRD-K76325726,4,3,0.034397054,0.6666666666666666,0.01617742,-0.01617742,0.9870064967516242,0.9941949101117449,,,,9454,55.612939574627916
BRD-K37928755,BRD-K37928755,2,1,-0.015313171,,0.016331604,-0.016331604,0.9865067466266867,0.9940676158585324,,,,9455,55.608244518522
BRD-K13411622,SA-441487,8,1,0.021093154,,0.016414708,-0.016414708,0.9855072463768116,0.9936715982096058,,,,9456,55.60354946241608
BRD-K62836687,BRD-K62836687,4,3,0.04686295,0.6666666666666666,0.016484061,-0.016484061,0.9860069965017492,0.9938931859200547,,,,9457,55.59885440631016
BRD-K87748349,BRD-K87748349,5,5,-0.0118115,0.6,0.016955877,-0.016955877,0.9835082458770614,0.9928310407571702,,,,9458,55.594159350204244
BRD-K27452198,BRD-K27452198,11,8,-0.034454513,0.625,0.017295375,-0.017295375,0.9865067466266867,0.9940676158585324,,,,9459,55.58946429409831
BRD-K44974079,ticagrelor,42,7,0.018742947,0.5714285714285714,0.01732239,-0.01732239,0.9835082458770614,0.9928310407571702,purinergic receptor antagonist,P2RY12,Launched,9460,55.58476923799239
BRD-K34730083,BRD-K34730083,3,2,-0.07663333,1.0,0.01733044,-0.01733044,0.9835082458770614,0.9928310407571702,,,,9461,55.580074181886474
BRD-K30436233,BRD-K30436233,4,3,-0.1583682,0.6666666666666666,0.017435525,-0.017435525,0.9900049975012494,0.9958494588542133,,,,9462,55.57537912578056
BRD-K23566484,nilutamide,23,13,-0.016590107,0.7692307692307693,0.01768869,-0.01768869,0.9835082458770614,0.9928310407571702,androgen receptor antagonist,AR,Launched,9463,55.57068406967463
BRD-K81146569,BRD-K81146569,3,3,-0.0075899386,0.6666666666666666,0.017806642,-0.017806642,0.9860069965017492,0.9938931859200547,,,,9464,55.565989013568704
BRD-K31295191,BRD-K31295191,13,8,-0.00889548,0.5,0.017979994,-0.017979994,0.984007996001999,0.993133962525226,,,,9465,55.56129395746279
BRD-M33077182,BRD-M33077182,6,5,0.022893561,0.6,0.018041465,-0.018041465,0.9810094952523738,0.9920011982804116,,,,9466,55.55659890135687
BRD-K52356070,BRD-K52356070,2,1,0.14210007,,0.018130634,-0.018130634,0.9835082458770614,0.9928310407571702,,,,9467,55.55190384525095
BRD-K74511610,BRD-K74511610,2,1,-0.0047810078,,0.018290339,-0.018290339,0.9905047476261869,0.9961169375178315,,,,9468,55.54720878914503
BRD-K43460092,BRD-K43460092,5,4,0.02047814,0.5,0.01843301,-0.01843301,0.9810094952523738,0.9920011982804116,,,,9469,55.542513733039115
BRD-K63117650,SA-432998,21,9,-0.025840001,0.7777777777777778,0.018563684,-0.018563684,0.9875062468765617,0.9944161293661713,,,,9470,55.53781867693319
BRD-K96003120,BRD-K96003120,6,5,-0.054057896,0.8,0.018706083,-0.018706083,0.9855072463768116,0.9936715982096058,,,,9471,55.533123620827276
BRD-K78584123,BRD-K78584123,4,3,0.060964283,0.6666666666666666,0.01881748,-0.01881748,0.9845077461269365,0.993133962525226,,,,9472,55.52842856472135
BRD-K58472651,BRD-K58472651,3,2,0.023147967,0.5,0.01924047,-0.01924047,0.9795102448775612,0.991662168725505,,,,9473,55.523733508615436
BRD-K42303783,BRD-K42303783,7,6,0.02166279,0.8333333333333334,0.019520368,-0.019520368,0.9870064967516242,0.9941949101117449,,,,9474,55.519038452509506
BRD-K00391235,BRD-K00391235,4,3,0.068909876,1.0,0.019556599,-0.019556599,0.9835082458770614,0.9928310407571702,,,,9475,55.51434339640359
BRD-K73059376,BRD-K73059376,6,6,0.013440784,0.5,0.01991441,-0.01991441,0.9800099950024987,0.9917909761264954,,,,9476,55.509648340297666
BRD-A85712510,BRD-A85712510,13,9,-0.005051821,0.5555555555555556,0.020240907,-0.020240907,0.9825087456271864,0.9925747651241968,,,,9477,55.504953284191735
BRD-A35989968,megestrol-acetate,8,4,0.013245111,0.5,0.020252557,-0.020252557,0.9815092453773113,0.9922239032365728,progesterone receptor agonist,NR3C1|PGR,Launched,9478,55.50025822808582
BRD-A58837096,ribostamycin,4,2,0.011096436,0.5,0.020515855,-0.020515855,0.9875062468765617,0.9944161293661713,bacterial 30S ribosomal subunit inhibitor,P4HB,Launched,9479,55.4955631719799
BRD-K62875000,BRD-K62875000,3,2,-0.009212496,0.5,0.020791734,-0.020791734,0.9855072463768116,0.9936715982096058,,,,9480,55.49086811587398
BRD-K37920059,BRD-K37920059,2,1,-0.102484606,,0.021102779,-0.021102779,0.9845077461269365,0.993133962525226,,,,9481,55.48617305976806
BRD-K41520872,BRD-K41520872,5,5,-0.0086412635,0.6,0.021181505,-0.021181505,0.9800099950024987,0.9917909761264954,,,,9482,55.48147800366215
BRD-K06373645,BRD-K06373645,2,2,-0.05872453,1.0,0.021253176,-0.021253176,0.9770114942528736,0.9906392371747098,,,,9483,55.476782947556224
BRD-K09861842,BRD-K09861842,6,5,0.008958703,0.6,0.022374589,-0.022374589,0.9865067466266867,0.9940676158585324,,,,9484,55.47208789145031
BRD-A98670841,ST-012030,17,13,-0.052978534,0.6923076923076923,0.022381924,-0.022381924,0.9820089955022488,0.9923993924464983,,,,9485,55.467392835344384
BRD-K57204946,BRD-K57204946,2,1,0.023692306,,0.022663904,-0.022663904,0.9800099950024987,0.9917909761264954,,,,9486,55.46269777923847
BRD-K86846131,BRD-K86846131,4,3,0.06158989,0.6666666666666666,0.022690691,-0.022690691,0.9810094952523738,0.9920011982804116,,,,9487,55.45800272313255
BRD-K31342827,bisindolylmaleimide,122,56,0.056432188,0.625,0.02271111,-0.02271111,0.9825087456271864,0.9925747651241968,,,,9488,55.45330766702662
BRD-A65444648,imidazolidinyl-urea,4,2,-0.09799077,1.0,0.022851575,-0.022851575,0.9810094952523738,0.9920011982804116,,,,9489,55.4486126109207
BRD-K89125793,tinidazole,17,9,0.08616455,0.6666666666666666,0.022962399,-0.022962399,0.9770114942528736,0.9906392371747098,antiprotozoal agent,,Launched,9490,55.44391755481478
BRD-K56130969,BRD-K56130969,11,8,0.038208913,0.5,0.023166139,-0.023166139,0.9815092453773113,0.9922239032365728,,,,9491,55.439222498708865
BRD-K85943445,BRD-K85943445,2,1,-0.04119254,,0.02321939,-0.02321939,0.9780109945027486,0.9911336618886636,,,,9492,55.434527442602935
BRD-K83132555,BRD-K83132555,7,6,0.039683405,0.6666666666666666,0.023234082,-0.023234082,0.9815092453773113,0.9922239032365728,,,,9493,55.42983238649701
BRD-K48036219,BRD-K48036219,13,9,0.03755357,0.7777777777777778,0.02328956,-0.02328956,0.9805097451274363,0.9920011982804116,,,,9494,55.425137330391095
BRD-K60064462,BRD-K60064462,2,2,0.024978776,0.5,0.02368448,-0.02368448,0.9785107446276862,0.991404259814722,,,,9495,55.42044227428518
BRD-K79998171,BRD-K79998171,3,3,-0.0064444374,0.6666666666666666,0.024227003,-0.024227003,0.9765117441279361,0.9903682509490457,,,,9496,55.415747218179256
BRD-K03358980,BRD-K03358980,13,9,-0.07375042,0.5555555555555556,0.02441315,-0.02441315,0.9795102448775612,0.991662168725505,,,,9497,55.41105216207334
BRD-K43852369,BRD-K43852369,1,1,0.25494382,,0.025041142,-0.025041142,0.9775112443778111,0.99086293518004,,,,9498,55.406357105967416
BRD-K33907901,BRD-K33907901,5,5,0.005836525,0.6,0.025092093,-0.025092093,0.9785107446276862,0.991404259814722,,,,9499,55.4016620498615
BRD-K49562544,BRD-K49562544,15,8,0.111411944,0.5,0.02517765,-0.02517765,0.9810094952523738,0.9920011982804116,,,,9500,55.39696699375558
BRD-A70858459,estramustine,42,7,-0.051418833,0.8571428571428571,0.025215857,-0.025215857,0.9795102448775612,0.991662168725505,DNA alkylating agent,ESR1|ESR2|MAP1A|MAP2,Launched,9501,55.39227193764966
BRD-K02201521,BRD-K02201521,2,1,0.32094887,,0.025284357,-0.025284357,0.9805097451274363,0.9920011982804116,,,,9502,55.38757688154373
BRD-K05225561,BRD-K05225561,4,2,-0.08140277,1.0,0.025359934,-0.025359934,0.9810094952523738,0.9920011982804116,,,,9503,55.38288182543781
BRD-K90430314,BRD-K90430314,17,13,0.014095402,0.6153846153846154,0.025513195,-0.025513195,0.9825087456271864,0.9925747651241968,,,,9504,55.3781867693319
BRD-K50011261,BRD-K50011261,6,1,-0.10919371,,0.025982829,-0.025982829,0.9790104947526237,0.9915804140822737,,,,9505,55.373491713225974
BRD-K95891443,BRD-K95891443,6,6,0.0061950567,0.5,0.02600755,-0.02600755,0.9820089955022488,0.9923993924464983,,,,9506,55.36879665712004
BRD-M73564418,BRD-M73564418,2,1,-0.08682256,,0.026184259,-0.026184259,0.9780109945027486,0.9911336618886636,,,,9507,55.36410160101413
BRD-K67563174,acemetacin,3,2,0.01602655,0.5,0.026622927,-0.026622927,0.9765117441279361,0.9903682509490457,cyclooxygenase inhibitor,PTGS1|PTGS2,Launched,9508,55.35940654490821
BRD-K81795818,exherin,42,7,-0.03066013,0.7142857142857143,0.026709136,-0.026709136,0.9750124937531235,0.9896959969712518,cadherin antagonist,CDH2,Phase 2,9509,55.35471148880229
BRD-K26128727,BRD-K26128727,2,1,0.004843757,,0.027078109,-0.027078109,0.9765117441279361,0.9903682509490457,,,,9510,55.35001643269637
BRD-K28806945,L-750667,19,13,0.051991705,0.6923076923076923,0.027184501,-0.027184501,0.9790104947526237,0.9915804140822737,,,,9511,55.34532137659045
BRD-K49456190,prima-1-met,59,51,0.02086545,0.5294117647058824,0.027362742,-0.027362742,0.9795102448775612,0.991662168725505,,,,9512,55.34062632048453
BRD-K34966059,BRD-K34966059,1,1,-0.06409921,,0.027454203,-0.027454203,0.9710144927536232,0.9880392547849904,,,,9513,55.335931264378615
BRD-K27915767,BRD-K27915767,7,6,-0.07686445,0.6666666666666666,0.027478985,-0.027478985,0.9845077461269365,0.993133962525226,,,,9514,55.33123620827269
BRD-A17828570,fulvestrant,3,2,0.14627746,0.5,0.02769646,-0.02769646,0.975512243878061,0.9898730482305299,estrogen receptor antagonist,ESR1|ESR2|GPER1,Launched,9515,55.326541152166776
BRD-K21787371,BRD-K21787371,4,3,0.04844332,0.6666666666666666,0.028129747,-0.028129747,0.9765117441279361,0.9903682509490457,,,,9516,55.32184609606085
BRD-K86171512,BRD-K86171512,4,3,0.050781865,0.6666666666666666,0.028242366,-0.028242366,0.974512743628186,0.9896603693575899,,,,9517,55.31715103995493
BRD-K15600521,BRD-K15600521,4,3,0.068174414,0.6666666666666666,0.028505115,-0.028505115,0.9725137431284357,0.9888561710456176,,,,9518,55.312455983849006
BRD-K24026396,BRD-K24026396,6,6,-0.013026784,0.6666666666666666,0.028616328,-0.028616328,0.9800099950024987,0.9917909761264954,,,,9519,55.30776092774309
BRD-K20099363,BRD-K20099363,12,8,-0.003895006,0.625,0.029619223,-0.029619223,0.9795102448775612,0.991662168725505,,,,9520,55.30306587163716
BRD-K08111712,chloramphenicol,3,2,-0.06364006,1.0,0.030159738,-0.030159738,0.9770114942528736,0.9906392371747098,bacterial 50S ribosomal subunit inhibitor,CD55,Launched,9521,55.29837081553124
BRD-K28774715,BRD-K28774715,30,13,-0.07362475,0.7692307692307693,0.030296078,-0.030296078,0.9815092453773113,0.9922239032365728,,,,9522,55.29367575942532
