pert_id,pert_iname,is_positive_control,canonical_smiles,senmayo_mean_z,reversal_score,gps_discrete_score,gps_continuous_score
BRD-K99149118,BRD-K99149118,False,O[C@H]1COC[C@H]2O[C@@H](CC(=O)NCc3ccc(Oc4ccccc4)cc3)CC[C@@H]2N(CCC(F)(F)F)C1,0.028616806,-0.87395906,-0.0,-0.17939697
BRD-K81524996,BRD-K81524996,False,COc1ccc2c3c([C@@H](CO)NC[C@]33CCN(Cc4ccccc4F)CC3)n(C)c2c1,0.1729358,-2.690768,-0.0,-0.2631884
BRD-M16762496,PIK-75,False,CN(\N=C\c1cnc2ccc(Br)cn12)S(=O)(=O)c1cc(ccc1C)[N+]([O-])=O,0.35207215,-0.56897634,0.22764227642276422,0.30873445
BRD-K83508485,FK-888,False,CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1cn(C)c2ccccc12,-0.033397213,1.0126039,-0.008130081300813009,-0.30302042
BRD-K38868394,MK-0773,False,CN1[C@@H]2CC[C@H]3[C@@H]4CC[C@H](C(=O)NCc5nc6cccnc6[nH]5)[C@@]4(C)CC[C@@H]3[C@@]2(C)C=C(F)C1=O,0.10607963,-5.9304395,-0.0,-0.011538047
BRD-K75486920,BRD-K75486920,False,CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)C3CCOCC3)ccc2OC[C@H](C)N(Cc2cccnc2)C[C@H]1C,0.058228552,0.37787408,-0.016260162601626018,-0.34998378
BRD-A78971512,calcifediol,False,CC(CCCC(C)(C)O)C1CCC2C1(C)CCC\C2=C/C=C1/CC(O)CCC1=C,-0.011394017,2.109033,-0.0,-0.12444173
BRD-K71140693,BRD-K71140693,False,Fc1cccc(F)c1S(=O)(=O)N[C@H]2CC[C@H](CC2)NS(=O)(=O)c3ccc4OCCOc4c3,0.044955984,-0.4988384,-0.0,-0.065356135
BRD-K24390300,BRD-K24390300,False,COCC(=O)Nc1ccc2c(OC[C@H](C)N(CC3CC3)C[C@@H](C)[C@@H](CN(C)C2=O)OC)c1,0.0011155563,1.1530144,-0.04878048780487805,-0.48543125
BRD-K02265150,amoxapine,False,Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,0.03398368,-3.2954886,-0.0,-0.04505427
BRD-K94597513,BRD-K94597513,False,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2cccnc2)Oc3cc(ccc3S1(=O)=O)c4ccccc4F,0.3456612,-0.09318207,-0.0,0.03147912
BRD-K65716359,exifone,False,Oc1ccc(C(=O)c2cc(O)c(O)c(O)c2)c(O)c1O,-0.041957848,1.1459738,-0.0,0.011847884
BRD-K68584490,butyrolactone,False,CCC[C@@H]1OC(=O)C(=C)[C@H]1C(O)=O,0.022773013,0.5359979,-0.0,-0.08987192
BRD-K19657374,BRD-K19657374,False,CO[C@@H]1CN(C)C(=O)c2cc(NS(=O)(=O)c3cccc(F)c3)ccc2OC[C@@H](C)NC[C@H]1C,0.01961051,-0.84084857,-0.0,-0.09114543
BRD-K48059230,YM-298198,False,Cc1c(sc2nc3ccc(N)cc3n12)C(=O)NC1CCCCC1,-0.04016503,1.4120948,-0.0,0.014094043
BRD-K60257691,BRD-K60257691,False,C\C=C\c1ccc(cc1)[C@H]1[C@H](CO)N2[C@H]1CN(CC2=O)C(=O)c1ccncc1,-0.10805992,1.7623336,-0.0975609756097561,-0.4160502
BRD-K87888439,BRD-K87888439,False,CN(C)C(=O)c1ccc(cc1)-c1ccc(cc1)[C@@H]1[C@H]2CN(Cc3ccc4OCOc4c3)C[C@@H]1N2,0.11822262,-0.6766071,-0.0,-0.04930529
BRD-K36080978,BRD-K36080978,False,OC[C@@H]1[C@@H]([C@@H]2CNCC(=O)N12)c1ccc(cc1)-c1ccc(cc1)C#N,-0.075375915,-0.26594877,-0.0,0.021501554
BRD-K21421563,BRD-K21421563,False,COc1ccc(CN(C)C[C@H]2Oc3c(NS(=O)(=O)C)cccc3C(=O)N(C[C@H]2C)[C@@H](C)CO)cc1,-0.120274976,1.3102589,-0.0,-0.22343121
BRD-K02283603,BRD-K02283603,False,CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)C(=O)NC3CCCCC3)[C@H](C)CN([C@@H](C)CO)C(=O)Cc2c1,0.05835279,0.019092042,-0.0,0.010158945
BRD-K09255212,clioquinol,False,Oc1c(I)cc(Cl)c2cccnc12,-0.011261294,-1.7606937,-0.08130081300813008,-0.592324
BRD-K63602071,BRD-K63602071,False,OC[C@@H]1O[C@H](CC(=O)NCc2ccccc2)C[C@H]3[C@@H]1Oc4ccc(NC(=O)Nc5ccccc5)cc34,0.072876796,-0.15670255,-0.032520325203252036,-0.4525993
BRD-K97466946,BRD-K97466946,False,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4ccc(F)cc4)cc3C1=O,0.14115396,-2.3059957,-0.024390243902439025,-0.3800519
BRD-K73082558,BRD-K73082558,False,Cc1ccccc1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C#N)C(C)(C)C,-0.091688946,0.6873391,-0.0,-0.009791264
BRD-K93054014,BRD-K93054014,False,COCC(=O)N1[C@@H](CO)[C@H]([C@@H]1C#N)c1ccc(cc1)-c1cccnc1,-0.059864428,1.3840125,-0.0,-0.055703085
BRD-K93338495,BRD-K93338495,False,Cn1cnc(c1)S(=O)(=O)N1CC[C@H]2[C@@H]1c1cc(ccc1N[C@H]2CO)C1=CCCCC1,0.09541992,-1.081838,-0.0,-0.04339126
BRD-K33750632,BRD-K33750632,False,COCCNC(=O)C[C@@H]1CC[C@@H](NC(=O)NC2CCCCC2)[C@@H](CO)O1,0.09018135,-1.0801988,-0.0,0.039788473
BRD-K81925854,clocortolone,False,C[C@@H]1C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,0.052758317,0.73375434,-0.0,0.07810381
BRD-K49738502,BRD-K49738502,False,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc3OCOc3c2)Oc4ccc(NC(=O)Cc5ccccc5)cc4C1=O,-0.10994325,1.9494826,-0.0,-0.04191582
BRD-K61984373,BRD-K61984373,False,COc1ccc(OC(=O)N(C)C[C@H]2OCc3cn(CCCC(=O)N(C[C@@H]2C)[C@@H](C)CO)nn3)cc1,0.15213272,-1.1514204,-0.0,-0.026064964
BRD-K55991774,BAS-09104376,False,Cc1ccc(/C=C(\C#N)/c2nc3ccc(C)cc3[nH]2)o1,-0.17733775,1.2397203,-0.0,-0.25532883
BRD-K81001086,cefsulodin,False,NC(=O)c1cc[n+](CC2=C(N3[C@H](SC2)[C@@H](NC(=O)[C@@H](c2ccccc2)S(O)(=O)=O)C3=O)C(O)=O)cc1,-0.07977182,1.3106171,-0.0,-0.07729536
BRD-K31112909,BRD-K31112909,False,CCC(=O)Nc1ccc2c(OC[C@H](C)N(C[C@@H](C)[C@@H](CN(C)C2=O)OC)C(=O)c2ccc(F)cc2)c1,-0.022289652,0.1488027,-0.08130081300813008,-0.45128095
BRD-K23744058,BRD-K23744058,False,CO[C@H](CN(C)C(=O)c1cnccn1)[C@@H](C)CN([C@@H](C)CO)S(=O)(=O)c1ccc(F)cc1,-0.15645128,1.0730579,-0.0,0.10053393
BRD-K23980805,BRD-K23980805,False,Brc1c[nH]c2nc(SCc3ccccc3C#N)nc2c1,0.021905253,1.0499028,-0.0,0.023092536
BRD-K15955205,BRD-K15955205,False,C[C@@H](NC(=O)C[C@H]1CC[C@@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccc(Cl)cc4)cc3C(=O)N2C)O1)c1ccccc1,-0.035448655,0.7864407,-0.0,-0.08761554
BRD-A81530502,BRD-A81530502,False,COc1ccc(cc1)/C(=N/N2C(Nc3ccccc3C2=O)c4ccccc4O)/C,0.11531449,-2.9251716,-0.14634146341463414,-0.5805161
BRD-K67174965,acetylcysteine,False,CC(=O)N[C@H](CS)C(O)=O,0.038617786,-3.3798923,-0.0,-0.014812835
BRD-A85712510,BRD-A85712510,False,FC(F)(F)c1ccc(cc1)S(=O)(=O)NC2CCN(C2)C#N,-0.005051821,-0.020240907,-0.0,-0.17808948
BRD-A39093044,K784-3187,False,COc1cccc(c1)N(C(C(=O)NCCc2ccccc2)c3cccs3)C(=O)CCl,0.3657877,-4.080561,0.016260162601626018,-0.05354917
BRD-K18152229,BRD-K18152229,False,CN1[C@@H]2CC[C@@H](CC(=O)NCCCN3CCOCC3)O[C@@H]2COc2ccc(NC(=O)Nc3ccccc3Cl)cc2C1=O,-0.086785235,1.1229123,-0.0,-0.1251477
BRD-K62732905,BRD-K62732905,False,Cc1nc(sc1C)N1[C@@H](CO)[C@@H]([C@@H]1C#N)c1ccccc1,-0.16979536,3.0125353,-0.0,-0.058737893
BRD-K36909552,BRD-K36909552,False,OC[C@H]1[C@H]([C@H]2CN(CC3CCOCC3)CCCCN12)c1ccc(cc1)-c1cccnc1,0.17803818,-2.2589018,-0.0,0.06200188
BRD-K67069164,BRD-K67069164,False,CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@@H](CN(C)C(=O)CCC(F)(F)F)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,-0.056852967,0.31127983,-0.0,-0.07409161
BRD-K82823804,PD-407824,False,Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1,0.2525647,-2.5154905,-0.37398373983739835,-0.53890324
BRD-K07516181,BRD-K07516181,False,CN1[C@H]2CC[C@H](CC(=O)NCC(F)(F)F)O[C@H]2COc2ccc(NC(=O)c3ccccc3Cl)cc2C1=O,0.029973725,-0.36342534,-0.0,-0.0043291734
BRD-K36226647,BRD-K36226647,False,OC[C@H]1[C@H]([C@@H]2CN(CC(=O)N12)C(=O)Cc1ccccn1)c1ccc(cc1)C#CCC1CCCC1,-0.06295192,0.8296294,-0.0,-0.106000386
BRD-K56076713,BRD-K56076713,False,CCN(C[C@@H]1[C@H]([C@@H](CO)N1C(=O)COC)c1ccccc1)S(C)(=O)=O,-0.3179842,2.6519089,-0.0,-0.09897773
BRD-K19294102,BRD-K19294102,False,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccnc2)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45,-0.03101132,0.6239417,-0.0,-0.024997255
BRD-K15262863,BRD-K15262863,False,C\C=C\c1ccc(cc1)[C@@H]1[C@H](CO)N(CC2CC2)[C@@H]1CNS(C)(=O)=O,0.05104192,-0.54019016,-0.056910569105691054,-0.303698
BRD-K97024014,BRD-K97024014,False,CCS(=O)(=O)N1[C@@H](CO)[C@H]([C@H]1C#N)c1ccc(cc1)-c1cccc(F)c1,0.0021392088,1.1575415,-0.0,-0.024651345
